num_envs,policy_lr,value_lr,gamma,gae_lambda,final_reward
4,0.0003,0.0001,0.95,0.9,11.061431948247078
4,0.0003,0.001,0.99,0.9,11.049443941661067
4,0.0003,0.003,0.99,0.95,10.676684200075124
4,0.0003,0.003,0.95,0.95,10.511585336198106
4,0.0003,0.0001,0.999,0.99,10.035613118625218
4,0.0003,0.003,0.999,0.99,9.299953688946351
16,0.001,0.003,0.95,0.9,7.340654717143891
16,0.001,0.001,0.95,0.9,7.173730577779493
16,0.001,0.001,0.95,0.95,7.065824525972556
16,0.001,0.0001,0.99,0.95,6.999724044500043
16,0.001,0.0001,0.99,0.9,6.932798465385884
16,0.001,0.001,0.999,0.9,6.8736511615757205
16,0.001,0.003,0.95,0.95,6.855323104664571
16,0.001,0.003,0.999,0.95,6.854093939727232
16,0.001,0.001,0.99,0.95,6.749191351244276
16,0.001,0.0001,0.95,0.99,6.7024558443690525
16,0.001,0.0001,0.95,0.95,6.690647777166617
16,0.001,0.003,0.99,0.9,6.635521760455493
16,0.001,0.001,0.99,0.99,6.622155130633501
16,0.001,0.003,0.99,0.99,6.619307052410389
16,0.001,0.001,0.99,0.9,6.613583336424832
16,0.001,0.0001,0.999,0.9,6.581928495223397
16,0.001,0.001,0.95,0.99,6.576811298970403
16,0.001,0.001,0.999,0.95,6.543985246727244
16,0.001,0.0001,0.95,0.9,6.513175133561948
16,0.001,0.0001,0.999,0.95,6.499201262772841
16,0.001,0.003,0.999,0.9,6.404093835267213
16,0.001,0.003,0.99,0.95,6.376781874964231
16,0.001,0.0001,0.999,0.99,6.269993821042177
16,0.001,0.003,0.95,0.99,6.262752937057915
16,0.001,0.0001,0.99,0.99,6.200259790504937
16,0.001,0.001,0.999,0.99,6.020318621938617
16,0.001,0.003,0.999,0.99,5.805779475103908
8,0.0003,0.003,0.95,0.99,3.7959592496150787
8,0.0003,0.001,0.95,0.95,3.586323131984809
8,0.0003,0.0001,0.999,0.95,3.5657386327418426
8,0.0003,0.001,0.999,0.99,3.4918519349036683
8,0.0003,0.0001,0.95,0.99,3.469474843404647
8,0.0003,0.003,0.99,0.99,3.4596934178937038
8,0.0003,0.0001,0.99,0.99,3.4443655453457813
8,0.0003,0.003,0.99,0.95,3.425893176425946
8,0.0003,0.0001,0.95,0.9,3.3523322720601243
8,0.0003,0.0001,0.999,0.9,3.2790282181247488
8,0.0003,0.001,0.99,0.95,3.2704938770749634
8,0.0003,0.0001,0.99,0.9,3.2623757087541487
8,0.0003,0.003,0.999,0.99,3.2360300178707497
8,0.0003,0.0001,0.95,0.95,3.220747736270644
8,0.0003,0.0001,0.99,0.95,3.2072440213612863
8,0.0003,0.003,0.99,0.9,3.200770173810716
8,0.0003,0.003,0.95,0.9,3.1926991732213907
8,0.0003,0.001,0.95,0.99,3.1702822968063615
8,0.0003,0.003,0.95,0.95,3.124086753258156
8,0.0003,0.001,0.99,0.9,3.1033926200996262
8,0.0003,0.003,0.999,0.95,3.0984417388603105
8,0.0003,0.001,0.999,0.9,2.9932915112531413
8,0.0003,0.001,0.95,0.9,2.9177840137584092
8,0.0003,0.003,0.999,0.9,2.9085570158084546
8,0.0003,0.001,0.999,0.95,2.904387071795138
8,0.0003,0.0001,0.999,0.99,2.8328621985895426
8,0.0003,0.001,0.99,0.99,2.7792515012915833
16,0.0003,0.001,0.95,0.99,1.6030485541409647
16,0.0003,0.003,0.999,0.95,1.4660632151897957
16,0.0003,0.0001,0.95,0.99,1.4314240578300208
16,0.0003,0.0001,0.99,0.95,1.4107979128766512
16,0.0003,0.003,0.95,0.99,1.3796082609737204
16,0.0003,0.001,0.999,0.9,1.2985599930737217
16,0.0003,0.001,0.99,0.9,1.23315016534233
16,0.0003,0.003,0.99,0.95,1.1953691428237456
16,0.0003,0.001,0.99,0.95,1.19130091716858
16,0.0003,0.0001,0.99,0.99,1.1791538902856762
16,0.0003,0.001,0.999,0.95,1.1773024798400933
4,0.0001,0.0001,0.99,0.99,1.1327710686821084
16,0.0003,0.0001,0.95,0.9,1.1318238986714533
16,0.0003,0.0001,0.999,0.9,1.09977059204973
16,0.0003,0.003,0.99,0.99,1.0989746795058841
16,0.0003,0.001,0.99,0.99,1.084219242043011
16,0.0003,0.003,0.95,0.9,1.027484774733444
16,0.0003,0.001,0.999,0.99,1.015837697537427
16,0.0003,0.003,0.99,0.9,0.9838991386064943
8,0.0001,0.003,0.999,0.95,0.9486088243982258
16,0.0003,0.003,0.999,0.9,0.9466710243896982
16,0.0003,0.001,0.95,0.95,0.936990760298007
16,0.0003,0.0001,0.999,0.99,0.9034360383504264
16,0.0003,0.003,0.999,0.99,0.8784797472767785
4,0.0001,0.0001,0.99,0.9,0.8772960336652896
16,0.0003,0.003,0.95,0.95,0.8748241302209948
16,0.0003,0.0001,0.95,0.95,0.8228850255105321
4,0.0001,0.003,0.99,0.95,0.8069426519199112
8,0.0001,0.003,0.95,0.95,0.7798225344266178
16,0.0003,0.0001,0.99,0.9,0.7773469812099095
4,0.0001,0.003,0.95,0.95,0.7356907483217486
4,0.0001,0.003,0.999,0.9,0.7231971809609813
4,0.0001,0.0001,0.99,0.95,0.7066239782563036
4,0.0001,0.001,0.999,0.99,0.7037663675781993
4,0.0001,0.0001,0.999,0.9,0.7019527975266213
4,0.0001,0.001,0.999,0.9,0.6989690114793784
8,0.0001,0.003,0.999,0.9,0.685187058719862
4,0.0001,0.003,0.99,0.99,0.6818738654139013
4,0.0001,0.0001,0.999,0.95,0.6809746806864658
4,0.0001,0.0001,0.95,0.95,0.6793771729583927
4,0.0001,0.003,0.999,0.95,0.6792702585367998
4,0.0001,0.001,0.95,0.9,0.6777007158354877
8,0.0001,0.001,0.999,0.95,0.668466933212409
4,0.0001,0.001,0.99,0.95,0.6638940578075673
16,0.0003,0.0001,0.999,0.95,0.6634248641136965
8,0.0001,0.001,0.999,0.9,0.6465694782013612
8,0.0001,0.001,0.99,0.9,0.6128487298054569
4,0.0001,0.003,0.999,0.99,0.6054430842424757
4,0.0001,0.003,0.95,0.99,0.5958835787504326
4,0.0001,0.001,0.95,0.99,0.5954135768760497
8,0.0001,0.001,0.95,0.9,0.5857703650382181
4,0.0001,0.003,0.99,0.9,0.5685654804123302
4,0.0001,0.001,0.99,0.9,0.5574920300850023
8,0.0001,0.003,0.95,0.99,0.5485654134532509
4,0.0001,0.0001,0.999,0.99,0.5427698947687837
