num_envs,policy_lr,value_lr,gamma,gae_lambda,final_reward
16,0.001,0.0001,0.999,0.99,-343.51734291620886
4,0.0003,0.003,0.95,0.95,-343.718959866392
8,0.0003,0.001,0.999,0.9,-343.75277817757905
16,0.001,0.001,0.999,0.95,-343.7964330350018
4,0.0001,0.0001,0.95,0.9,-344.15409908068466
8,0.0001,0.003,0.999,0.99,-344.1797100767625
16,0.0003,0.0001,0.99,0.9,-344.3282799141424
8,0.0003,0.003,0.95,0.95,-344.4676545350713
8,0.0001,0.0001,0.95,0.9,-344.4718043000568
8,0.0001,0.003,0.999,0.9,-344.6135303800726
16,0.0003,0.0001,0.95,0.95,-344.6412798491799
8,0.001,0.001,0.999,0.99,-344.70051626753485
16,0.001,0.0001,0.95,0.99,-344.72995854851956
8,0.0003,0.0001,0.95,0.99,-344.9339833578082
16,0.0003,0.001,0.999,0.99,-345.0188712551807
8,0.0003,0.001,0.999,0.95,-345.063168904595
8,0.0003,0.001,0.95,0.95,-345.6040732493235
8,0.001,0.0001,0.95,0.9,-345.6563058105671
8,0.0001,0.0001,0.99,0.9,-345.719814339807
4,0.0003,0.001,0.99,0.95,-345.83006200752345
16,0.0003,0.003,0.99,0.9,-346.01231995259116
4,0.0001,0.001,0.999,0.9,-346.0765932657633
8,0.0001,0.001,0.99,0.99,-346.0944625329082
16,0.0001,0.0001,0.95,0.99,-346.1901674544198
4,0.0001,0.0001,0.999,0.95,-346.20191258514586
4,0.0001,0.001,0.99,0.95,-346.2073672751937
16,0.0003,0.003,0.99,0.99,-346.38872107253496
4,0.0001,0.003,0.99,0.99,-346.6135418286501
4,0.0001,0.001,0.999,0.95,-346.6600479287278
16,0.0003,0.003,0.999,0.95,-346.76399252428877
4,0.0003,0.003,0.999,0.99,-347.0346741471715
16,0.0003,0.003,0.95,0.9,-347.1052687553877
16,0.0001,0.003,0.99,0.99,-347.11560800157787
8,0.001,0.001,0.99,0.99,-347.2005099271254
16,0.0001,0.003,0.95,0.95,-347.4291109632112
16,0.0001,0.0001,0.99,0.95,-347.49449258921834
16,0.0001,0.001,0.99,0.99,-347.5674977698016
4,0.0001,0.003,0.95,0.9,-347.6810758374659
4,0.0001,0.003,0.99,0.95,-347.7698333126731
4,0.0001,0.003,0.999,0.9,-347.8243127862407
4,0.0003,0.003,0.95,0.99,-347.94555812351683
8,0.0003,0.0001,0.99,0.9,-347.9890166179027
4,0.0003,0.001,0.95,0.9,-348.0625241219246
16,0.0001,0.001,0.95,0.99,-348.21338211941526
4,0.0001,0.001,0.99,0.9,-348.28335559209444
4,0.0001,0.001,0.95,0.9,-348.3084337768929
8,0.0003,0.0001,0.999,0.9,-348.54146490501216
4,0.0003,0.0001,0.95,0.9,-348.5462027635799
8,0.0003,0.0001,0.95,0.95,-348.5686357592816
8,0.0001,0.003,0.99,0.95,-348.5878661376787
16,0.001,0.001,0.95,0.9,-348.8332150898514
8,0.0001,0.0001,0.95,0.99,-348.8462940862444
8,0.0001,0.001,0.99,0.9,-348.8674401232755
4,0.0001,0.003,0.95,0.99,-348.92510296578536
4,0.0001,0.003,0.999,0.95,-349.13507100842185
8,0.0001,0.0001,0.999,0.95,-349.1759655249438
4,0.0001,0.0001,0.99,0.95,-349.2141701841589
8,0.0003,0.0001,0.99,0.95,-349.4553847953809
4,0.0001,0.003,0.999,0.99,-349.5390714225391
8,0.0001,0.0001,0.999,0.99,-349.65661418550013
4,0.0001,0.0001,0.95,0.99,-349.67478939211185
4,0.0001,0.001,0.95,0.99,-349.6855622101767
16,0.001,0.003,0.99,0.99,-349.738778353999
8,0.0003,0.0001,0.95,0.9,-349.7430071429637
4,0.0003,0.001,0.95,0.95,-350.01129049062706
16,0.0001,0.001,0.95,0.95,-350.05386032540184
8,0.0003,0.0001,0.99,0.99,-350.1474298208239
16,0.001,0.003,0.95,0.9,-350.289114444148
