num_envs,policy_lr,value_lr,gamma,gae_lambda,final_reward
16,0.001,0.001,0.99,0.99,41.234273454565994
16,0.001,0.001,0.999,0.9,40.91014260518105
16,0.001,0.003,0.95,0.9,39.6829466381393
16,0.001,0.001,0.999,0.95,38.94532307446048
8,0.0003,0.0001,0.95,0.9,32.111003493333534
8,0.0003,0.001,0.99,0.9,30.431974586570327
8,0.0003,0.0001,0.999,0.95,29.7024039004902
8,0.0003,0.001,0.95,0.95,29.13765585947567
8,0.0003,0.003,0.999,0.99,28.232150401784203
8,0.0003,0.003,0.95,0.95,28.198580151484148
8,0.0003,0.001,0.999,0.95,27.824285522508195
8,0.0003,0.003,0.95,0.9,27.515098483910254
8,0.0003,0.0001,0.95,0.95,27.42073221438665
8,0.0003,0.0001,0.95,0.99,27.411528527339648
8,0.0003,0.003,0.99,0.99,27.375693897950082
8,0.0003,0.0001,0.99,0.99,27.35737559024286
8,0.0003,0.001,0.95,0.99,27.28116017602453
8,0.0003,0.003,0.999,0.95,27.275031948207506
8,0.0003,0.0001,0.999,0.99,27.26214701961596
8,0.0003,0.001,0.99,0.95,27.15551132436396
8,0.0003,0.003,0.999,0.9,27.10392717289431
8,0.0003,0.0001,0.99,0.95,26.733257866095464
8,0.0003,0.003,0.95,0.99,26.720211155862707
8,0.0003,0.001,0.999,0.99,26.716807895392115
8,0.0003,0.003,0.99,0.95,26.600001240707023
8,0.0003,0.001,0.95,0.9,26.550670266530286
8,0.0003,0.0001,0.99,0.9,26.406883524849306
8,0.0003,0.0001,0.999,0.9,26.374571877306984
8,0.0003,0.003,0.99,0.9,26.26207000203054
8,0.0003,0.001,0.99,0.99,25.797570992769224
8,0.0003,0.001,0.999,0.9,25.494265158918086
4,0.0001,0.001,0.99,0.99,24.480148265556796
4,0.0001,0.001,0.99,0.95,23.920241779999763
4,0.0001,0.0001,0.95,0.9,23.546046020865603
4,0.0001,0.003,0.99,0.95,23.22107314313502
4,0.0001,0.003,0.999,0.95,22.83124007112758
4,0.0001,0.003,0.999,0.99,22.80531906244474
4,0.0001,0.003,0.95,0.95,22.752751048685383
4,0.0001,0.003,0.99,0.99,22.742833696526933
4,0.0001,0.0001,0.95,0.99,22.742492655286416
4,0.0001,0.003,0.999,0.9,22.557776570310583
4,0.0001,0.0001,0.99,0.9,22.542138582705878
16,0.0003,0.003,0.99,0.99,22.53379269858468
4,0.0001,0.001,0.999,0.9,22.39770791378461
4,0.0001,0.001,0.999,0.95,22.311701936146537
4,0.0001,0.0001,0.95,0.95,22.3058609383747
16,0.0003,0.0001,0.95,0.95,22.286329090470336
4,0.0001,0.001,0.95,0.9,22.176956577325356
4,0.0001,0.001,0.95,0.99,22.16532030389992
4,0.0001,0.003,0.95,0.9,22.07658445627628
4,0.0001,0.0001,0.99,0.99,21.90415395054829
4,0.0001,0.001,0.999,0.99,21.885144243420285
4,0.0001,0.001,0.95,0.95,21.810280275652534
16,0.0003,0.001,0.99,0.99,21.76198196592757
16,0.0003,0.0001,0.99,0.99,21.761907243216363
16,0.0003,0.001,0.95,0.95,21.69597842762482
16,0.0003,0.0001,0.95,0.99,21.486739580885892
4,0.0001,0.001,0.99,0.9,21.4669333260529
4,0.0001,0.0001,0.999,0.95,21.46049183594487
4,0.0001,0.0001,0.99,0.95,21.4114045829004
4,0.0001,0.0001,0.999,0.9,21.344631628748115
4,0.0001,0.003,0.95,0.99,21.232654894125798
4,0.0001,0.0001,0.999,0.99,21.22488948729269
16,0.0001,0.003,0.999,0.99,21.216626177262906
16,0.0001,0.001,0.999,0.99,21.21643651901476
16,0.0001,0.0001,0.999,0.99,21.216305484017717
16,0.0003,0.0001,0.999,0.99,21.154776592575658
4,0.0001,0.003,0.99,0.9,20.901750012851075
16,0.0003,0.001,0.999,0.99,20.630931406306136
8,0.0001,0.0001,0.999,0.99,20.543276542460355
16,0.0003,0.003,0.95,0.9,20.424448998590353
16,0.0003,0.003,0.999,0.99,20.417661730849645
16,0.0003,0.001,0.95,0.99,20.398456277229844
16,0.0003,0.0001,0.99,0.95,20.395425995537664
8,0.0001,0.001,0.99,0.99,20.36709523292421
16,0.0001,0.003,0.99,0.99,20.313684964542414
16,0.0001,0.001,0.99,0.99,20.31349482824949
16,0.0001,0.0001,0.99,0.99,20.313365690823865
16,0.0003,0.0001,0.95,0.9,20.308545822086693
16,0.0003,0.003,0.95,0.99,20.30005076221938
8,0.0001,0.003,0.95,0.9,20.242735473618055
16,0.0003,0.001,0.999,0.95,20.068423627861968
16,0.0003,0.0001,0.999,0.95,20.06776002145433
8,0.0001,0.003,0.999,0.99,19.982503333450865
8,0.0001,0.001,0.999,0.99,19.96529202809685
16,0.0003,0.001,0.99,0.95,19.93609179726171
8,0.0001,0.001,0.95,0.9,19.91727611248643
8,0.0001,0.0001,0.99,0.99,19.891895947254653
8,0.0001,0.003,0.99,0.95,19.8715761609576
8,0.0001,0.003,0.95,0.95,19.719033578283348
8,0.0001,0.0001,0.999,0.9,19.705529294716232
16,0.0003,0.001,0.999,0.9,19.69339666368684
16,0.0003,0.003,0.99,0.95,19.556769496580582
8,0.0001,0.0001,0.95,0.95,19.504503120350506
16,0.0003,0.003,0.95,0.95,19.442188122803334
16,0.0001,0.0001,0.999,0.95,19.39757129764625
16,0.0003,0.003,0.999,0.9,19.35721712346617
8,0.0001,0.0001,0.99,0.95,19.348571188338596
8,0.0001,0.001,0.95,0.99,19.28826753221745
8,0.0001,0.001,0.999,0.95,19.271257144511942
8,0.0001,0.003,0.95,0.99,19.261657282162
16,0.0001,0.003,0.99,0.95,19.10982609999937
16,0.0001,0.001,0.999,0.95,19.011493990350296
16,0.0001,0.001,0.95,0.95,18.999836022401446
16,0.0001,0.001,0.99,0.95,18.991553726805257
16,0.0001,0.0001,0.99,0.95,18.98869812233856
8,0.0001,0.003,0.999,0.95,18.982794287572418
16,0.0001,0.001,0.95,0.99,18.925477315365416
16,0.0001,0.0001,0.95,0.99,18.925243056752503
8,0.0001,0.003,0.999,0.9,18.89632587915107
16,0.0001,0.003,0.95,0.99,18.88683073617002
8,0.0001,0.001,0.99,0.9,18.846251960909214
16,0.0001,0.003,0.999,0.95,18.844960053136695
16,0.0003,0.003,0.999,0.95,18.817494206063266
8,0.0001,0.001,0.999,0.9,18.67930326080021
16,0.0003,0.001,0.99,0.9,18.51874171362
8,0.0001,0.0001,0.99,0.9,18.449090420437177
8,0.0001,0.0001,0.95,0.99,18.448371557499826
16,0.0001,0.0001,0.95,0.95,18.295951578088253
8,0.0001,0.0001,0.999,0.95,18.175386982567606
16,0.0003,0.001,0.95,0.9,18.12985991264703
8,0.0001,0.001,0.99,0.95,18.010831657312977
16,0.0003,0.0001,0.999,0.9,17.902165775389967
16,0.0001,0.001,0.95,0.9,17.869703876665856
8,0.0001,0.001,0.95,0.95,17.697387894907653
16,0.0001,0.003,0.95,0.95,17.632533778874514
16,0.0003,0.003,0.99,0.9,17.53891588425315
8,0.0001,0.003,0.99,0.9,17.506119996305898
8,0.0001,0.003,0.99,0.99,17.501130247865266
16,0.0003,0.0001,0.99,0.9,17.34185292653133
16,0.0001,0.0001,0.95,0.9,17.335908901493166
8,0.0001,0.0001,0.95,0.9,17.325850099428763
16,0.0001,0.0001,0.999,0.9,17.056790493845643
16,0.0001,0.003,0.95,0.9,17.039928371126123
16,0.0001,0.0001,0.99,0.9,16.901706391716303
16,0.0001,0.001,0.99,0.9,16.200501537713706
16,0.0001,0.001,0.999,0.9,15.635206482408552
16,0.0001,0.003,0.999,0.9,15.191844327812165
16,0.0001,0.003,0.99,0.9,15.155967152319024
