step,mean_reward,episodes,policy_loss,value_loss,entropy,method,env,seed
16384,-365.9930754025414,16,-0.10261984914541245,0.9855737686157227,8.513632774353027,td1,HalfCheetah-v5,0
32768,-356.2924648577002,32,-0.09884454309940338,0.81301349401474,8.511832237243652,td1,HalfCheetah-v5,0
49152,-354.08321584526766,48,-0.10391294211149216,0.7165000438690186,8.510101318359375,td1,HalfCheetah-v5,0
65536,-355.17992378292627,64,-0.125346377491951,0.6320956945419312,8.50844669342041,td1,HalfCheetah-v5,0
81920,-353.1424487484201,80,-0.12454988062381744,0.5629799365997314,8.506766319274902,td1,HalfCheetah-v5,0
98304,-350.0261185315623,96,-0.10279922932386398,0.5344067215919495,8.505097389221191,td1,HalfCheetah-v5,0
114688,-350.965858087957,112,-0.1240575909614563,0.4706336259841919,8.503479957580566,td1,HalfCheetah-v5,0
131072,-352.6126793812745,128,-0.13199709355831146,0.46313685178756714,8.501830101013184,td1,HalfCheetah-v5,0
147456,-354.6198893920807,144,-0.11816297471523285,0.4409126341342926,8.500151634216309,td1,HalfCheetah-v5,0
163840,-351.4215283815034,160,-0.12104544788599014,0.44428879022598267,8.498475074768066,td1,HalfCheetah-v5,0
180224,-349.33159032156254,176,-0.14690108597278595,0.43401649594306946,8.496788024902344,td1,HalfCheetah-v5,0
196608,-351.21561349644077,192,-0.1341310292482376,0.4459317922592163,8.495078086853027,td1,HalfCheetah-v5,0
212992,-350.5300253029869,208,-0.12712475657463074,0.4624435305595398,8.493348121643066,td1,HalfCheetah-v5,0
229376,-358.4516439136736,224,-0.14430749416351318,0.4683772325515747,8.491616249084473,td1,HalfCheetah-v5,0
245760,-348.29208075568357,240,-0.13717021048069,0.44325387477874756,8.489867210388184,td1,HalfCheetah-v5,0
262144,-350.2279104390335,256,-0.11719194799661636,0.4223375618457794,8.488106727600098,td1,HalfCheetah-v5,0
278528,-348.3294469146938,272,-0.11000087112188339,0.4299687147140503,8.48636531829834,td1,HalfCheetah-v5,0
294912,-355.101630720419,288,-0.112135149538517,0.45593830943107605,8.48464298248291,td1,HalfCheetah-v5,0
311296,-355.4178331012265,304,-0.14094120264053345,0.4344433546066284,8.482933044433594,td1,HalfCheetah-v5,0
327680,-352.6618829721007,320,-0.12081636488437653,0.4410424828529358,8.481207847595215,td1,HalfCheetah-v5,0
344064,-347.81986446137637,336,-0.13833019137382507,0.4466283619403839,8.4794921875,td1,HalfCheetah-v5,0
360448,-354.49354176450646,360,-0.13731883466243744,0.43147337436676025,8.477753639221191,td1,HalfCheetah-v5,0
376832,-350.83995230386705,376,-0.12392525374889374,0.42719167470932007,8.476005554199219,td1,HalfCheetah-v5,0
393216,-346.1080744551873,392,-0.14358294010162354,0.44799694418907166,8.474259376525879,td1,HalfCheetah-v5,0
409600,-345.82296489398163,408,-0.11870190501213074,0.43037575483322144,8.472502708435059,td1,HalfCheetah-v5,0
425984,-350.50890380630443,424,-0.13153791427612305,0.4559595584869385,8.470747947692871,td1,HalfCheetah-v5,0
442368,-363.91778023655456,440,-0.10613477975130081,0.47136765718460083,8.468995094299316,td1,HalfCheetah-v5,0
458752,-361.56757511698567,456,-0.11704171448945999,0.44523459672927856,8.467270851135254,td1,HalfCheetah-v5,0
475136,-359.16113301510165,472,-0.13176745176315308,0.4229446053504944,8.465559959411621,td1,HalfCheetah-v5,0
491520,-364.1453151227737,488,-0.10426259785890579,0.4590712785720825,8.46384334564209,td1,HalfCheetah-v5,0
507904,-361.2044609104945,504,-0.09997525066137314,0.43680429458618164,8.462157249450684,td1,HalfCheetah-v5,0
524288,-357.9048585572718,520,-0.09876894950866699,0.43574950098991394,8.460503578186035,td1,HalfCheetah-v5,0
540672,-347.357344619704,536,-0.12559720873832703,0.46307432651519775,8.458891868591309,td1,HalfCheetah-v5,0
557056,-347.2619947216707,552,-0.09987375140190125,0.438343346118927,8.457259178161621,td1,HalfCheetah-v5,0
573440,-348.1606990367384,568,-0.0989096611738205,0.4530150294303894,8.455649375915527,td1,HalfCheetah-v5,0
589824,-351.15788816790644,584,-0.11040982604026794,0.45113328099250793,8.45406436920166,td1,HalfCheetah-v5,0
606208,-352.1100639106975,600,-0.09018819034099579,0.4531453251838684,8.452499389648438,td1,HalfCheetah-v5,0
622592,-357.5195369893223,616,-0.08525730669498444,0.47099247574806213,8.450974464416504,td1,HalfCheetah-v5,0
638976,-355.8799936920226,632,-0.07798969745635986,0.46063217520713806,8.44948673248291,td1,HalfCheetah-v5,0
655360,-356.15351949159833,648,-0.09400589764118195,0.4721534550189972,8.448060035705566,td1,HalfCheetah-v5,0
671744,-351.9718507403147,664,-0.08012766391038895,0.4753813147544861,8.446654319763184,td1,HalfCheetah-v5,0
688128,-354.68977819226586,680,-0.11395666003227234,0.500693678855896,8.445281028747559,td1,HalfCheetah-v5,0
704512,-353.7785291511472,696,-0.07953715324401855,0.47805431485176086,8.443879127502441,td1,HalfCheetah-v5,0
720896,-344.63070000027744,720,-0.08008941262960434,0.5130075216293335,8.442519187927246,td1,HalfCheetah-v5,0
737280,-348.90626229794725,736,-0.09934607893228531,0.5017091631889343,8.441193580627441,td1,HalfCheetah-v5,0
753664,-349.45076548987834,752,-0.09042081236839294,0.5159173607826233,8.439866065979004,td1,HalfCheetah-v5,0
770048,-344.73920576250464,768,-0.08903302997350693,0.49791383743286133,8.43856143951416,td1,HalfCheetah-v5,0
786432,-341.26246774811784,784,-0.07367873191833496,0.5334328413009644,8.437277793884277,td1,HalfCheetah-v5,0
802816,-347.1783191283897,800,-0.07557148486375809,0.5425803065299988,8.436043739318848,td1,HalfCheetah-v5,0
819200,-345.58310862038576,816,-0.06082197651267052,0.5230766534805298,8.434844017028809,td1,HalfCheetah-v5,0
835584,-341.0666808492181,832,-0.0625246912240982,0.5245921611785889,8.433701515197754,td1,HalfCheetah-v5,0
851968,-336.17371306128535,848,-0.0754091665148735,0.5475152730941772,8.432623863220215,td1,HalfCheetah-v5,0
868352,-342.40379903493334,864,-0.07726874202489853,0.5666596293449402,8.431563377380371,td1,HalfCheetah-v5,0
884736,-331.41988455409114,880,-0.0521220862865448,0.5668679475784302,8.430519104003906,td1,HalfCheetah-v5,0
901120,-327.00404516655993,896,-0.06768356263637543,0.5773063898086548,8.429533958435059,td1,HalfCheetah-v5,0
917504,-329.3886948902362,912,-0.059681251645088196,0.6057845950126648,8.42856502532959,td1,HalfCheetah-v5,0
933888,-333.2927544351954,928,-0.04611780866980553,0.6070963144302368,8.427634239196777,td1,HalfCheetah-v5,0
950272,-334.597618202716,944,-0.0449402742087841,0.6348825693130493,8.426764488220215,td1,HalfCheetah-v5,0
966656,-328.61497594420905,960,-0.07145291566848755,0.6189085245132446,8.425965309143066,td1,HalfCheetah-v5,0
983040,-328.3192771467145,976,-0.031377989798784256,0.6178606748580933,8.425154685974121,td1,HalfCheetah-v5,0
999424,-332.6722172389953,992,-0.03655805066227913,0.6351118683815002,8.424422264099121,td1,HalfCheetah-v5,0
16384,-336.2395606759235,16,-0.06945151090621948,1.0756080150604248,8.513632774353027,td1,HalfCheetah-v5,1
32768,-346.84138251746236,32,-0.07377859950065613,0.9305016398429871,8.511832237243652,td1,HalfCheetah-v5,1
49152,-342.98416801100785,48,-0.10822360217571259,0.766058087348938,8.510162353515625,td1,HalfCheetah-v5,1
65536,-333.6926807974646,64,-0.10660764575004578,0.6565062999725342,8.508513450622559,td1,HalfCheetah-v5,1
81920,-336.6700095420596,80,-0.10470277070999146,0.5903469920158386,8.506888389587402,td1,HalfCheetah-v5,1
98304,-341.42331401995716,96,-0.12585723400115967,0.5345867276191711,8.505234718322754,td1,HalfCheetah-v5,1
114688,-348.4258589324238,112,-0.125221848487854,0.5112161636352539,8.5035400390625,td1,HalfCheetah-v5,1
131072,-347.84937467060985,128,-0.1335931122303009,0.45704296231269836,8.501814842224121,td1,HalfCheetah-v5,1
147456,-345.76709171997237,144,-0.13581691682338715,0.4406140148639679,8.50006103515625,td1,HalfCheetah-v5,1
163840,-352.6010622982909,160,-0.10059746354818344,0.46823686361312866,8.498291969299316,td1,HalfCheetah-v5,1
180224,-357.924501593332,176,-0.13424468040466309,0.4480394721031189,8.496552467346191,td1,HalfCheetah-v5,1
196608,-354.761530495323,192,-0.1494935303926468,0.4504035413265228,8.494795799255371,td1,HalfCheetah-v5,1
212992,-352.9434533235676,208,-0.12811920046806335,0.43969041109085083,8.492997169494629,td1,HalfCheetah-v5,1
229376,-350.5400802966014,224,-0.1372441202402115,0.4332062005996704,8.491203308105469,td1,HalfCheetah-v5,1
245760,-351.6516187140135,240,-0.14352135360240936,0.4241509437561035,8.489396095275879,td1,HalfCheetah-v5,1
262144,-352.0404962003129,256,-0.12192893773317337,0.4750572144985199,8.487578392028809,td1,HalfCheetah-v5,1
278528,-350.41913075626076,272,-0.12953075766563416,0.43700364232063293,8.485770225524902,td1,HalfCheetah-v5,1
294912,-350.7171579513261,288,-0.16336122155189514,0.42328229546546936,8.483962059020996,td1,HalfCheetah-v5,1
311296,-355.67205487395273,304,-0.14135223627090454,0.46519356966018677,8.482117652893066,td1,HalfCheetah-v5,1
327680,-353.44866926319594,320,-0.11655762046575546,0.43054255843162537,8.480284690856934,td1,HalfCheetah-v5,1
344064,-355.77346162382605,336,-0.12455987185239792,0.4390460252761841,8.478470802307129,td1,HalfCheetah-v5,1
360448,-358.18976327197,360,-0.1293901801109314,0.45035257935523987,8.476668357849121,td1,HalfCheetah-v5,1
376832,-353.1295890260629,376,-0.11501763761043549,0.4058941602706909,8.474867820739746,td1,HalfCheetah-v5,1
393216,-353.06589618744675,392,-0.12782630324363708,0.42333707213401794,8.473084449768066,td1,HalfCheetah-v5,1
409600,-350.71215696630503,408,-0.15534141659736633,0.4186185896396637,8.471306800842285,td1,HalfCheetah-v5,1
425984,-345.68591801363726,424,-0.12628266215324402,0.4138331115245819,8.469498634338379,td1,HalfCheetah-v5,1
442368,-344.9010422818641,440,-0.11119531840085983,0.4241965711116791,8.467698097229004,td1,HalfCheetah-v5,1
458752,-342.86147564178367,456,-0.14296135306358337,0.4478842318058014,8.465933799743652,td1,HalfCheetah-v5,1
475136,-346.9312486135773,472,-0.10804416984319687,0.4325924813747406,8.464150428771973,td1,HalfCheetah-v5,1
491520,-341.0285440459793,488,-0.1163133755326271,0.42214950919151306,8.462395668029785,td1,HalfCheetah-v5,1
507904,-343.17010398641787,504,-0.11314371228218079,0.4256819188594818,8.460663795471191,td1,HalfCheetah-v5,1
524288,-348.52467121162573,520,-0.10316938161849976,0.4571956694126129,8.45896053314209,td1,HalfCheetah-v5,1
540672,-349.97066888069486,536,-0.08200928568840027,0.44569480419158936,8.457283973693848,td1,HalfCheetah-v5,1
557056,-350.7423356337791,552,-0.11660048365592957,0.4402933120727539,8.455666542053223,td1,HalfCheetah-v5,1
573440,-345.7299557614753,568,-0.09683921188116074,0.4582290053367615,8.454049110412598,td1,HalfCheetah-v5,1
589824,-351.7390903369541,584,-0.08179143816232681,0.4589093029499054,8.452467918395996,td1,HalfCheetah-v5,1
606208,-354.9837841789606,600,-0.10156725347042084,0.4535149931907654,8.450936317443848,td1,HalfCheetah-v5,1
622592,-354.32060148997914,616,-0.08101971447467804,0.4457179307937622,8.449418067932129,td1,HalfCheetah-v5,1
638976,-351.8907411106309,632,-0.06541679799556732,0.45976075530052185,8.447945594787598,td1,HalfCheetah-v5,1
655360,-352.67437128580525,648,-0.06397216022014618,0.49235767126083374,8.446534156799316,td1,HalfCheetah-v5,1
671744,-351.9194853512192,664,-0.11553207039833069,0.5069902539253235,8.4451904296875,td1,HalfCheetah-v5,1
688128,-352.26387181139523,680,-0.10133980214595795,0.47483277320861816,8.443816184997559,td1,HalfCheetah-v5,1
704512,-355.78162149152644,696,-0.07393139600753784,0.5107108950614929,8.442429542541504,td1,HalfCheetah-v5,1
720896,-354.42398690134746,720,-0.1027325913310051,0.5330866575241089,8.441100120544434,td1,HalfCheetah-v5,1
737280,-359.0625167615364,736,-0.08467978239059448,0.5246961712837219,8.439749717712402,td1,HalfCheetah-v5,1
753664,-353.07377257636574,752,-0.05785384774208069,0.5009913444519043,8.438424110412598,td1,HalfCheetah-v5,1
770048,-347.94570792770895,768,-0.10434174537658691,0.531069815158844,8.437172889709473,td1,HalfCheetah-v5,1
786432,-341.9108538355553,784,-0.05745049566030502,0.5185019969940186,8.435898780822754,td1,HalfCheetah-v5,1
802816,-342.71651481081966,800,-0.08264344930648804,0.5319584012031555,8.434693336486816,td1,HalfCheetah-v5,1
819200,-338.2165777616743,816,-0.06358829140663147,0.5382416844367981,8.433501243591309,td1,HalfCheetah-v5,1
835584,-335.94157185840913,832,-0.06608164310455322,0.5454796552658081,8.432343482971191,td1,HalfCheetah-v5,1
851968,-337.956629962726,848,-0.06594805419445038,0.598259449005127,8.431221961975098,td1,HalfCheetah-v5,1
868352,-344.42304354843,864,-0.06369747221469879,0.5769606828689575,8.430144309997559,td1,HalfCheetah-v5,1
884736,-349.14756338551217,880,-0.06817448139190674,0.5963893532752991,8.42910099029541,td1,HalfCheetah-v5,1
901120,-345.7939383516046,896,-0.03373266011476517,0.6094303131103516,8.428078651428223,td1,HalfCheetah-v5,1
917504,-348.7960816553735,912,-0.03196985274553299,0.6273491382598877,8.427140235900879,td1,HalfCheetah-v5,1
933888,-351.175034616596,928,-0.06459148228168488,0.5872688293457031,8.426291465759277,td1,HalfCheetah-v5,1
950272,-347.2187417601653,944,-0.04384537786245346,0.6620986461639404,8.425453186035156,td1,HalfCheetah-v5,1
966656,-339.6813885025963,960,-0.03036327287554741,0.6547609567642212,8.424668312072754,td1,HalfCheetah-v5,1
983040,-339.1049405821048,976,-0.06595635414123535,0.6587498188018799,8.423958778381348,td1,HalfCheetah-v5,1
999424,-335.1813997389615,992,-0.03343005105853081,0.6535458564758301,8.42324161529541,td1,HalfCheetah-v5,1
16384,-317.5978797830824,16,-0.10471844673156738,0.6945122480392456,8.513632774353027,td1,HalfCheetah-v5,2
32768,-339.26910012707486,32,-0.11776852607727051,0.6171266436576843,8.511832237243652,td1,HalfCheetah-v5,2
49152,-349.64750431951074,48,-0.12263619899749756,0.5118717551231384,8.510139465332031,td1,HalfCheetah-v5,2
65536,-352.04840691747216,64,-0.17211057245731354,0.4697936177253723,8.508421897888184,td1,HalfCheetah-v5,2
81920,-352.7882773896055,80,-0.16496658325195312,0.43170997500419617,8.50667667388916,td1,HalfCheetah-v5,2
98304,-350.56885428910005,96,-0.12896975874900818,0.413405179977417,8.504914283752441,td1,HalfCheetah-v5,2
114688,-354.9352716933592,112,-0.14391189813613892,0.43005070090293884,8.503167152404785,td1,HalfCheetah-v5,2
131072,-360.74642957222886,128,-0.14430582523345947,0.4441359341144562,8.501411437988281,td1,HalfCheetah-v5,2
147456,-364.9376348185755,144,-0.13873033225536346,0.45991095900535583,8.499655723571777,td1,HalfCheetah-v5,2
163840,-366.04301786236283,160,-0.15279337763786316,0.4401475787162781,8.497895240783691,td1,HalfCheetah-v5,2
180224,-360.0663315476486,176,-0.15968281030654907,0.4185968041419983,8.496132850646973,td1,HalfCheetah-v5,2
196608,-364.7367390209495,192,-0.14954730868339539,0.4282377064228058,8.494362831115723,td1,HalfCheetah-v5,2
212992,-363.20847055528174,208,-0.1551341563463211,0.4212433397769928,8.49259090423584,td1,HalfCheetah-v5,2
229376,-356.13761159275816,224,-0.1637340635061264,0.4370853304862976,8.49080753326416,td1,HalfCheetah-v5,2
245760,-352.5461060632187,240,-0.14743220806121826,0.40769752860069275,8.489014625549316,td1,HalfCheetah-v5,2
262144,-351.0630881084151,256,-0.1582167148590088,0.4139817953109741,8.487229347229004,td1,HalfCheetah-v5,2
278528,-345.2800665065507,272,-0.15838447213172913,0.40411409735679626,8.485434532165527,td1,HalfCheetah-v5,2
294912,-346.06041603959414,288,-0.16946300864219666,0.4280643165111542,8.483635902404785,td1,HalfCheetah-v5,2
311296,-349.4277614675599,304,-0.18856608867645264,0.40542513132095337,8.481825828552246,td1,HalfCheetah-v5,2
327680,-359.05937207856545,320,-0.1479230523109436,0.43369609117507935,8.479987144470215,td1,HalfCheetah-v5,2
344064,-361.24919299472344,336,-0.10714854300022125,0.4112784266471863,8.478157997131348,td1,HalfCheetah-v5,2
